"Wavelength","Alexa Fluor 546 EM","Alexa Fluor 546 EX"
300,,0.3059
301,,0.2762
302,,0.2519
303,,0.2308
304,,0.2097
305,,0.1946
306,,0.1783
307,,0.163
308,,0.157
309,,0.1469
310,,0.1377
311,,0.134
312,,0.1329
313,,0.1286
314,,0.1272
315,,0.1256
316,,0.1243
317,,0.1226
318,,0.1202
319,,0.1194
320,,0.1179
321,,0.1157
322,,0.1135
323,,0.1178
324,,0.116
325,,0.1161
326,,0.1183
327,,0.1191
328,,0.1181
329,,0.1143
330,,0.114
331,,0.1136
332,,0.1143
333,,0.1132
334,,0.1147
335,,0.1143
336,,0.1133
337,,0.1123
338,,0.1111
339,,0.1089
340,,0.1083
341,,0.1083
342,,0.1071
343,,0.1035
344,,0.1031
345,,0.0993
346,,0.0956
347,,0.0928
348,,0.0894
349,,0.0856
350,,0.083
351,,0.0795
352,,0.0781
353,,0.0752
354,,0.0734
355,,0.0716
356,,0.0723
357,,0.0705
358,,0.0706
359,,0.072
360,,0.073
361,,0.0737
362,,0.0756
363,,0.0765
364,,0.078
365,,0.0774
366,,0.0761
367,,0.075
368,,0.0735
369,,0.0714
370,,0.0697
371,,0.0669
372,,0.0646
373,,0.0614
374,,0.0609
375,,0.0577
376,,0.056
377,,0.0533
378,,0.0511
379,,0.0497
380,,0.0482
381,,0.0467
382,,0.0465
383,,0.0457
384,,0.0432
385,,0.0443
386,,0.0433
387,,0.0435
388,,0.0434
389,,0.0431
390,,0.0432
391,,0.043
392,,0.0422
393,,0.0427
394,,0.0428
395,,0.0425
396,,0.0418
397,,0.0427
398,,0.0418
399,,0.0422
400,,0.041
401,,0.0413
402,,0.0402
403,,0.0403
404,,0.0389
405,,0.0388
406,,0.0382
407,,0.0376
408,,0.0373
409,,0.0376
410,,0.0372
411,,0.0369
412,,0.0365
413,,0.0359
414,,0.0348
415,,0.0354
416,,0.035
417,,0.0347
418,,0.0337
419,,0.0336
420,,0.033
421,,0.0321
422,,0.0324
423,,0.0326
424,,0.0313
425,,0.0314
426,,0.0304
427,,0.0293
428,,0.0306
429,,0.0294
430,,0.0284
431,,0.029
432,,0.0295
433,,0.0287
434,,0.029
435,,0.0297
436,,0.0294
437,,0.0278
438,,0.0274
439,,0.0269
440,,0.0269
441,,0.0265
442,,0.0267
443,,0.0272
444,,0.0276
445,,0.0267
446,,0.0285
447,,0.0282
448,,0.0278
449,,0.0281
450,,0.029
451,,0.0291
452,,0.0296
453,,0.0293
454,,0.0297
455,,0.0298
456,,0.0305
457,,0.0307
458,,0.0318
459,,0.0309
460,,0.0319
461,,0.0328
462,,0.034
463,,0.0338
464,,0.0356
465,,0.036
466,,0.0369
467,,0.0376
468,,0.0381
469,,0.0391
470,,0.04
471,,0.0413
472,,0.043
473,,0.0447
474,,0.0469
475,,0.0481
476,,0.0511
477,,0.052
478,,0.055
479,,0.0563
480,,0.0592
481,,0.0608
482,,0.0637
483,,0.0653
484,,0.0679
485,,0.0707
486,,0.0725
487,,0.0742
488,,0.0773
489,,0.0783
490,,0.0809
491,,0.0829
492,,0.0858
493,,0.0876
494,,0.0907
495,,0.0931
496,,0.0972
497,,0.0995
498,,0.104
499,,0.1085
500,,0.113
501,,0.1177
502,,0.1245
503,,0.1311
504,,0.1384
505,,0.1464
506,,0.1551
507,,0.1643
508,,0.174
509,,0.1846
510,,0.1954
511,,0.207
512,,0.219
513,,0.2301
514,,0.243
515,,0.2547
516,,0.2666
517,,0.2768
518,,0.2883
519,,0.2966
520,,0.3052
521,,0.3126
522,,0.319
523,,0.3229
524,,0.3261
525,,0.328
526,,0.3284
527,,0.3276
528,,0.327
529,,0.3257
530,0.027,0.3246
531,0.0189,0.3231
532,0.0105,0.3237
533,0.0081,0.3248
534,0.0085,0.3271
535,0.0095,0.3308
536,0.0116,0.3368
537,0.0136,0.344
538,0.0153,0.3548
539,0.0185,0.3664
540,0.0218,0.3812
541,0.026,0.397
542,0.0314,0.4174
543,0.0369,0.4389
544,0.0433,0.4644
545,0.0514,0.4906
546,0.0632,0.5209
547,0.0753,0.5519
548,0.093,0.5878
549,0.1108,0.6236
550,0.1336,0.6634
551,0.1577,0.7032
552,0.1863,0.7444
553,0.2183,0.7844
554,0.2546,0.8249
555,0.2935,0.8631
556,0.3379,0.8989
557,0.3849,0.9303
558,0.4292,0.9564
559,0.4791,0.9775
560,0.5301,0.9921
561,0.5899,1
562,0.6485,0.9995
563,0.7038,0.9924
564,0.7558,0.9771
565,0.8031,0.9548
566,0.8442,0.9254
567,0.89,0.89
568,0.9228,0.8491
569,0.9515,0.8036
570,0.9728,0.7547
571,0.9883,0.7047
572,1,0.6523
573,0.9973,0.6
574,0.9934,0.5471
575,0.9838,0.4969
576,0.9763,0.4475
