"Wavelength","Cy3 EM","Cy3 EX"
400,,0.0019
401,,0.002
402,,0.0019
403,,0.0019
404,,0.0022
405,,0.0021
406,,0.0025
407,,0.0021
408,,0.002
409,,0.0024
410,,0.0024
411,,0.003
412,,0.0024
413,,0.0027
414,,0.0027
415,,0.0031
416,,0.0031
417,,0.0031
418,,0.0033
419,,0.0035
420,,0.0037
421,,0.0037
422,,0.004
423,,0.0044
424,,0.0045
425,,0.0051
426,,0.005
427,,0.0053
428,,0.0057
429,,0.0058
430,,0.0058
431,,0.006
432,,0.006
433,,0.0073
434,,0.0079
435,,0.0078
436,,0.0088
437,,0.0087
438,,0.0095
439,,0.0097
440,,0.0104
441,,0.0108
442,,0.0118
443,,0.0122
444,,0.0129
445,,0.0136
446,,0.0149
447,,0.015
448,,0.0163
449,,0.0175
450,,0.0183
451,,0.0186
452,,0.0207
453,,0.0218
454,,0.0243
455,,0.0252
456,,0.0261
457,,0.0274
458,,0.0291
459,,0.0307
460,,0.0325
461,,0.0341
462,,0.0357
463,,0.0374
464,,0.0413
465,,0.0432
466,,0.0468
467,,0.0488
468,,0.0506
469,,0.0543
470,,0.0594
471,,0.0615
472,,0.0669
473,,0.07
474,,0.0765
475,,0.0813
476,,0.0864
477,,0.0914
478,,0.0983
479,,0.103
480,,0.1075
481,,0.1149
482,,0.1184
483,,0.1253
484,,0.1322
485,,0.1367
486,,0.1404
487,,0.1469
488,,0.1508
489,,0.1573
490,,0.1614
491,,0.1675
492,,0.1741
493,,0.1799
494,,0.1862
495,,0.1949
496,,0.1999
497,,0.2102
498,,0.219
499,,0.2264
500,0.0062,0.2379
501,0.0068,0.2606
502,0.0071,0.2755
503,0.0072,0.2861
504,0.0078,0.3035
505,0.0083,0.3268
506,0.0086,0.3457
507,0.0091,0.3586
508,0.0092,0.3765
509,0.0094,0.3957
510,0.0103,0.4222
511,0.0103,0.4403
512,0.0105,0.4579
513,0.0105,0.4747
514,0.0105,0.4895
515,0.0108,0.5039
516,0.011,0.5057
517,0.0108,0.5179
518,0.0111,0.5249
519,0.0114,0.5283
520,0.0114,0.5279
521,0.0113,0.5343
522,0.0117,0.5291
523,0.0121,0.5296
524,0.012,0.5248
525,0.0126,0.521
526,0.013,0.5182
527,0.0136,0.5145
528,0.0144,0.5135
529,0.0155,0.5131
530,0.0163,0.5161
531,0.0181,0.5258
532,0.0196,0.5251
533,0.0219,0.5333
534,0.0248,0.5467
535,0.0283,0.5547
536,0.0325,0.5687
537,0.0385,0.5808
538,0.0447,0.6004
539,0.0516,0.6184
540,0.0611,0.6378
541,0.0732,0.6774
542,0.0871,0.7055
543,0.1038,0.7314
544,0.1226,0.7694
545,0.1464,0.8049
546,0.1751,0.8391
547,0.2062,0.8737
548,0.2463,0.8976
549,0.2883,0.9307
550,0.3351,0.9647
551,0.383,0.9789
552,0.4408,0.9968
553,0.5009,0.9989
554,0.5625,1
555,0.6218,0.9913
556,0.684,0.9852
557,0.7384,0.9538
558,0.7957,0.932
559,0.8468,0.8952
560,0.8872,0.8451
561,0.9285,0.7777
562,0.9541,0.7271
563,0.9765,0.6801
564,0.991,0.6153
565,0.9996,0.5457
566,1,0.4863
567,0.9901,0.4502
568,0.9793,0.3955
569,0.9592,0.3482
570,0.9335,0.3021
571,0.9085,0.2631
572,0.8811,0.2259
573,0.8441,0.1952
574,0.8117,0.1693
575,0.7756,0.1493
576,0.7386,0.132
577,0.7087,0.1172
578,0.6732,0.1002
579,0.6387,0.0878
580,0.6091,0.0717
581,0.582,0.062
582,0.5545,0.0498
583,0.5281,0.0428
584,0.5055,0.0356
585,0.4835,0.0311
586,0.4611,0.0266
587,0.4418,0.0242
588,0.4247,0.0202
589,0.4094,0.0155
590,0.3951,0.0143
591,0.3845,0.0119
592,0.3705,0.0104
593,0.3634,0.0101
594,0.3555,0.0084
595,0.348,0.0071
596,0.3424,0.0065
597,0.3384,0.0066
598,0.3334,0.0059
599,0.3294,0.0046
600,0.3259,0.0038
601,0.3236,0.0032
602,0.3198,0.0031
603,0.3179,0.0028
604,0.3165,0.0025
605,0.3108,0.002
606,0.3079,0.0016
607,0.3049,0.0014
608,0.3009,0.0009
609,0.296,0.0004
610,0.2912,0.0002
611,0.2837,0.0001
612,0.2788,0.0001
613,0.2722,0.0001
614,0.2621,0.0001
615,0.2578,0.0001
616,0.2488,0.0001
617,0.2408,0.0001
618,0.231,0.0001
619,0.2225,0.0001
620,0.2153,0
621,0.2066,0.0001
622,0.1972,0.0001
623,0.1896,0
624,0.1808,0.0001
625,0.1738,0
626,0.1655,0
627,0.158,0.0001
628,0.1501,0
629,0.1434,0
630,0.1365,0
631,0.1296,0
632,0.1244,0
633,0.1178,0
634,0.1134,0
635,0.1081,0
636,0.1025,0
637,0.0972,0
638,0.0927,0
639,0.0889,0
640,0.0853,0
641,0.0816,0
642,0.0781,0
643,0.0752,0
644,0.072,0
645,0.0696,0
646,0.066,0
647,0.0633,0
648,0.0615,0
649,0.0593,0
650,0.0566
651,0.0544
652,0.0526
653,0.0516
654,0.049
655,0.0472
656,0.0456
657,0.0447
658,0.042
