"Wavelength","Alexa Fluor 647 EM","Alexa Fluor 647 EX"
500,,0.01
501,,0.009
502,,0.0092
503,,0.0096
504,,0.0098
505,,0.0103
506,,0.0108
507,,0.0108
508,,0.0111
509,,0.0118
510,,0.0122
511,,0.0124
512,,0.0133
513,,0.0139
514,,0.0144
515,,0.0145
516,,0.0156
517,,0.0157
518,,0.0162
519,,0.0172
520,,0.0178
521,,0.0181
522,,0.0187
523,,0.019
524,,0.0197
525,,0.0205
526,,0.021
527,,0.0221
528,,0.0229
529,,0.0232
530,,0.0241
531,,0.0251
532,,0.0269
533,,0.0279
534,,0.029
535,,0.0296
536,,0.0303
537,,0.0322
538,,0.0332
539,,0.0348
540,,0.0359
541,,0.0382
542,,0.0401
543,,0.0415
544,,0.0429
545,,0.0463
546,,0.0473
547,,0.0494
548,,0.0513
549,,0.0541
550,,0.0566
551,,0.0583
552,,0.0608
553,,0.0626
554,,0.0648
555,,0.0665
556,,0.0682
557,,0.0706
558,,0.0732
559,,0.0746
560,,0.0768
561,,0.08
562,,0.0804
563,,0.0833
564,,0.0865
565,,0.0886
566,,0.0893
567,,0.0922
568,,0.0959
569,,0.0992
570,,0.1024
571,,0.1065
572,,0.1111
573,,0.1159
574,,0.1203
575,,0.1249
576,,0.1297
577,,0.1352
578,,0.1419
579,,0.1492
580,,0.1551
581,,0.161
582,,0.1708
583,,0.1776
584,,0.1864
585,,0.1928
586,,0.2036
587,,0.2121
588,,0.2208
589,,0.2299
590,,0.24
591,,0.2468
592,,0.2558
593,,0.2626
594,,0.2711
595,,0.2776
596,,0.2848
597,,0.2913
598,,0.2973
599,,0.3023
600,,0.3052
601,,0.3085
602,,0.3132
603,,0.3146
604,,0.319
605,,0.3189
606,,0.3189
607,,0.3191
608,,0.3235
609,,0.3238
610,,0.3252
611,,0.3277
612,,0.3247
613,,0.3289
614,,0.3301
615,,0.3334
616,,0.3347
617,,0.3427
618,,0.3475
619,,0.3563
620,,0.3662
621,,0.376
622,,0.3851
623,,0.3989
624,,0.4155
625,,0.427
626,,0.4442
627,,0.4672
628,,0.4915
629,,0.5123
630,0.0215,0.5403
631,0.0235,0.5666
632,0.0272,0.5917
633,0.0314,0.6202
634,0.0369,0.6501
635,0.0426,0.678
636,0.0498,0.7052
637,0.0581,0.7364
638,0.0673,0.7706
639,0.0781,0.8041
640,0.0894,0.8279
641,0.1033,0.8537
642,0.1203,0.8796
643,0.1372,0.908
644,0.1573,0.9325
645,0.1786,0.9504
646,0.2007,0.9666
647,0.2274,0.9826
648,0.2551,0.992
649,0.2842,0.9977
650,0.3165,1
651,0.3494,0.9956
652,0.39,0.9905
653,0.4292,0.9747
654,0.4642,0.959
655,0.5133,0.9391
656,0.5525,0.9142
657,0.5979,0.8879
658,0.6441,0.854
659,0.6813,0.818
660,0.7259,0.7813
661,0.766,0.7432
662,0.8055,0.7017
663,0.8477,0.6529
664,0.8856,0.6139
665,0.9075,0.5728
666,0.932,0.5287
667,0.9507,0.4819
668,0.9738,0.4466
669,0.9841,0.4085
670,0.9973,0.3714
671,1,0.3349
672,0.9928,0.3038
673,0.9827,0.2754
674,0.9688,0.2458
675,0.9522,0.2232
676,0.939,0.1986
677,0.9057,0.1771
678,0.8844,0.1547
679,0.8615,0.1361
680,0.8339,0.1207
681,0.8042,0.1084
682,0.7709,0.0976
683,0.7475,0.083
684,0.7092,0.074
685,0.683,0.0654
686,0.6567,0.0583
687,0.6199,0.0524
688,0.593,0.0473
689,0.5717,0.0428
690,0.5372,0.0389
691,0.5095,0.0361
692,0.4887,0.0321
693,0.4652,0.0298
694,0.4451,0.0281
695,0.4267,0.0252
696,0.4064,0.0218
697,0.3899,0.02
698,0.3731,0.0191
699,0.3564,0.0171
700,0.3406,0.0164
701,0.3303
702,0.318
703,0.3064
704,0.2973
705,0.2845
706,0.2749
707,0.2693
708,0.2625
709,0.2528
710,0.2494
711,0.2446
712,0.2418
713,0.2364
714,0.2355
715,0.2327
716,0.2309
717,0.2274
718,0.226
719,0.2223
720,0.2213
721,0.2205
722,0.2176
723,0.2181
724,0.215
725,0.2143
726,0.2097
727,0.2084
728,0.2077
729,0.2036
730,0.2003
731,0.1981
732,0.1973
733,0.1925
734,0.1897
735,0.1861
736,0.1825
737,0.1789
738,0.176
739,0.1726
740,0.1682
741,0.1636
742,0.1591
743,0.1539
744,0.1504
745,0.1471
746,0.143
747,0.1384
748,0.1337
749,0.1299
750,0.1259
751,0.12
752,0.1144
753,0.1105
754,0.1081
755,0.1039
756,0.0987
757,0.0942
758,0.0891
759,0.0864
760,0.0805
761,0.0782
762,0.0752
763,0.0723
764,0.07
765,0.0666
766,0.0648
767,0.0631
768,0.0611
769,0.0592
770,0.0568
771,0.0565
772,0.0553
773,0.0534
774,0.0513
775,0.0499
776,0.0472
777,0.0464
778,0.0443
779,0.0433
780,0.0427
781,0.0417
782,0.0395
783,0.0385
784,0.0371
785,0.0359
786,0.0359
787,0.0345
788,0.0341
789,0.0337
790,0.0332
791,0.0337
792,0.0325
793,0.0311
794,0.0293
795,0.0289
796,0.0282
797,0.028
798,0.0266
799,0.0262
800,0.0257
